Last_Three_Digits,Date,Month,Years,First_Price,Last_Two_Digits_Upper,Three_Digits_Upper,Last_Two_Digits_Under,Datetime,day_of_week,weekday_name
559 626 098 654,16,11,2567,187221,21,221,38,2024-11-16,5,เสาร์
036 923 547 980,1,11,2567,536044,44,44,32,2024-11-01,4,ศุกร์
174 225 063 231,16,10,2567,482962,62,962,0,2024-10-16,2,พุธ
561 648 493 919,1,10,2567,718665,65,665,59,2024-10-01,1,อังคาร
053 812 079 566,16,9,2567,608662,62,662,37,2024-09-16,0,จันทร์
230 904 008 408,1,9,2567,199606,6,606,94,2024-09-01,6,อาทิตย์
173 220 094 388,16,8,2567,95867,67,867,28,2024-08-16,4,ศุกร์
212 334 697 728,1,8,2567,407041,41,41,46,2024-08-01,3,พฤหัสบดี
408 579 070 622,16,7,2567,367336,36,336,21,2024-07-16,1,อังคาร
011 331 421 618,1,7,2567,434503,3,503,89,2024-07-01,0,จันทร์
839 975 647 778,16,6,2567,518504,4,504,31,2024-06-16,6,อาทิตย์
016 428 426 447,1,6,2567,530593,93,593,42,2024-06-01,5,เสาร์
194 364 421 734,16,5,2567,205690,90,690,60,2024-05-16,3,พฤหัสบดี
747 885 070 137,2,5,2567,980116,16,116,17,2024-05-02,3,พฤหัสบดี
104 763 634 833,16,4,2567,943598,98,598,79,2024-04-16,1,อังคาร
727 729 154 200,1,4,2567,803481,81,481,90,2024-04-01,0,จันทร์
122 809 559 947,16,3,2567,997626,26,626,78,2024-03-16,5,เสาร์
509 571 329 794,1,3,2567,253603,3,603,79,2024-03-01,4,ศุกร์
900 975 382 703,16,2,2567,941395,95,395,43,2024-02-16,4,ศุกร์
056 330 375 587,1,2,2567,607063,63,63,9,2024-02-01,3,พฤหัสบดี
454 943 544 591,17,1,2567,105979,79,979,61,2024-01-17,2,พุธ
429 931 196 635,30,12,2566,625544,44,544,89,2023-12-30,5,เสาร์
600 648 456 882,16,12,2566,356757,57,757,85,2023-12-16,5,เสาร์
058 410 584 964,1,12,2566,251097,97,97,91,2023-12-01,4,ศุกร์
055 265 092 280,16,11,2566,557990,90,990,14,2023-11-16,3,พฤหัสบดี
346 412 778 961,1,11,2566,743951,51,951,63,2023-11-01,2,พุธ
335 913 019 349,16,10,2566,931446,46,446,44,2023-10-16,0,จันทร์
167 398 272 970,1,10,2566,727202,2,202,66,2023-10-01,6,อาทิตย์
324 355 426 615,16,9,2566,320812,12,812,46,2023-09-16,5,เสาร์
037 699 057 344,1,9,2566,915478,78,478,91,2023-09-01,4,ศุกร์
521 596 291 692,16,8,2566,471782,82,782,67,2023-08-16,2,พุธ
431 739 737 742,31,7,2566,260453,53,453,11,2023-07-31,0,จันทร์
268 708 387 601,16,7,2566,169530,30,530,62,2023-07-16,6,อาทิตย์
261 384 066 780,1,7,2566,922605,5,605,16,2023-07-01,5,เสาร์
281 867 491 947,16,6,2566,264872,72,872,30,2023-06-16,4,ศุกร์
519 628 202 874,1,6,2566,125272,72,272,9,2023-06-01,3,พฤหัสบดี
000 681 386 971,16,5,2566,132903,3,903,99,2023-05-16,1,อังคาร
678 739 693 731,2,5,2566,843019,19,19,65,2023-05-02,1,อังคาร
500 780 187 269,16,4,2566,984906,6,906,71,2023-04-16,6,อาทิตย์
670 678 551 797,1,4,2566,87907,7,907,99,2023-04-01,5,เสาร์
111 914 290 698,16,3,2566,25873,73,873,73,2023-03-16,3,พฤหัสบดี
420 800 355 544,1,3,2566,417652,52,652,55,2023-03-01,2,พุธ
577 919 748 984,16,2,2566,590417,17,417,80,2023-02-16,3,พฤหัสบดี
195 664 377 523,1,2,2566,297411,11,411,92,2023-02-01,2,พุธ
181 789 101 664,17,1,2566,812519,19,519,47,2023-01-17,1,อังคาร
389 443 564 849,30,12,2565,157196,96,196,58,2022-12-30,4,ศุกร์
007 522 250 425,16,12,2565,845093,93,93,14,2022-12-16,4,ศุกร์
411 912 593 855,1,12,2565,375805,5,805,8,2022-12-01,3,พฤหัสบดี
170 786 409 421,16,11,2565,121789,89,789,64,2022-11-16,2,พุธ
532 722 157 973,1,11,2565,913106,6,106,70,2022-11-01,1,อังคาร
722 839 343 922,16,10,2565,613106,6,106,15,2022-10-16,6,อาทิตย์
037 158 606 799,1,10,2565,484669,69,669,50,2022-10-01,5,เสาร์
206 996 194 278,16,9,2565,943703,3,703,75,2022-09-16,4,ศุกร์
540 971 432 631,1,9,2565,929332,32,332,83,2022-09-01,3,พฤหัสบดี
298 725 210 604,16,8,2565,331583,83,583,42,2022-08-16,1,อังคาร
271 300 284 876,1,8,2565,436594,94,594,14,2022-08-01,0,จันทร์
266 893 282 447,16,7,2565,620405,5,405,53,2022-07-16,5,เสาร์
159 834 061 279,1,7,2565,981417,17,417,61,2022-07-01,4,ศุกร์
242 287 002 542,16,6,2565,361807,7,807,92,2022-06-16,3,พฤหัสบดี
285 549 106 228,1,6,2565,319196,96,196,2,2022-06-01,2,พุธ
679 817 213 652,16,5,2565,155012,12,12,6,2022-05-16,0,จันทร์
247 736 236 540,2,5,2565,658642,42,642,9,2022-05-02,0,จันทร์
518 778 041 325,16,4,2565,395919,19,919,58,2022-04-16,5,เสาร์
289 859 413 508,1,4,2565,970618,18,618,10,2022-04-01,4,ศุกร์
391 738 578 870,16,3,2565,737867,67,867,3,2022-03-16,2,พุธ
349 985 788 989,1,3,2565,61905,5,905,7,2022-03-01,1,อังคาร
236 834 234 691,17,2,2565,98597,97,597,57,2022-02-17,3,พฤหัสบดี
085 644 592 816,1,2,2565,944308,8,308,30,2022-02-01,1,อังคาร
061 942 485 509,17,1,2565,880159,59,159,92,2022-01-17,0,จันทร์
731 786 119 529,30,12,2564,819068,68,68,36,2021-12-30,3,พฤหัสบดี
591 979 419 547,16,12,2564,639235,35,235,83,2021-12-16,3,พฤหัสบดี
097 629 476 522,1,12,2564,77258,58,258,82,2021-12-01,2,พุธ
739 740 401 485,16,11,2564,32761,61,761,57,2021-11-16,1,อังคาร
471 648 245 844,1,11,2564,45037,37,37,95,2021-11-01,0,จันทร์
247 458 331 755,16,10,2564,386372,72,372,38,2021-10-16,5,เสาร์
602 964 295 798,1,10,2564,578171,71,171,83,2021-10-01,4,ศุกร์
285 361 379 449,16,9,2564,70935,35,935,90,2021-09-16,3,พฤหัสบดี
609 817 007 379,1,9,2564,114475,75,475,79,2021-09-01,2,พุธ
278 302 123 458,16,8,2564,46750,50,750,23,2021-08-16,0,จันทร์
421 666 160 355,1,8,2564,910261,61,261,69,2021-08-01,6,อาทิตย์
